,gnews_flair,gnews_tb_polarity,gnews_tb_subjectivity,gnews_sid_pos,gnews_sid_neg,gnews_sid_neu,gnews_sid_com
2019-11-21,-0.3039633333333333,0.03872705543097666,0.12358069516928798,0.03163333333333333,0.007566666666666667,0.9608,0.1991733333333333
2019-11-22,-0.20455333333333328,0.013440941869736529,0.11159395431536573,0.02323333333333333,0.014033333333333332,0.9627666666666664,0.09933999999999997
2019-11-23,-0.3242333333333333,0.024758002144173216,0.09578673135488447,0.0191,0.013366666666666666,0.9676,0.09869333333333333
2019-11-24,-0.5304166666666666,0.044055680077924896,0.12590311674190674,0.02843333333333333,0.011033333333333334,0.9605333333333334,0.17478
2019-11-25,-0.2685533333333333,0.012922619183977123,0.11145206176214947,0.024633333333333337,0.011266666666666668,0.9641666666666666,0.16024000000000002
2019-11-26,-0.4039,0.02326967591864289,0.09676432052111854,0.020766666666666662,0.0103,0.9688666666666668,0.15902666666666668
2019-11-27,-0.17611333333333334,0.020939996963627267,0.12951960308916774,0.0256,0.01576666666666667,0.9586333333333332,0.1283
2019-11-28,-0.1880433333333333,0.03706203478447448,0.12694665259949353,0.027999999999999997,0.014633333333333332,0.9573333333333334,0.10093
2019-11-29,-0.34385666666666664,0.009223353969587421,0.08180371928932548,0.017400000000000002,0.014000000000000002,0.9686,-0.00948333333333334
2019-11-30,-0.4689266666666666,0.009526170232402726,0.06609001058335792,0.0149,0.011133333333333332,0.9739,0.05075
2019-12-01,-0.18755,0.021121127923650077,0.10126844021965628,0.024466666666666668,0.007933333333333336,0.9676333333333332,0.19063
2019-12-02,-0.06795666666666668,0.020037031146638216,0.1144855754294722,0.021700000000000004,0.021433333333333332,0.9568333333333332,0.0019533333333333364
2019-12-03,-0.0662666666666667,0.03922742977953882,0.134140626263025,0.03373333333333333,0.013533333333333336,0.9526666666666668,0.20137333333333327
2019-12-04,-0.04571999999999998,0.019018278620440768,0.11306043358830473,0.019600000000000003,0.012466666666666671,0.9678666666666664,0.12299333333333333
2019-12-05,-0.15689999999999996,0.017722968464544117,0.12306836849275002,0.028999999999999995,0.019366666666666664,0.9516,0.13740333333333332
2019-12-06,-0.010049999999999984,0.048109708380030966,0.1368170357774457,0.034699999999999995,0.011966666666666664,0.9533,0.27335666666666664
2019-12-07,-0.1549,0.01844320728094357,0.11536210035706135,0.027166666666666662,0.012333333333333332,0.9606,0.2096166666666667
2019-12-08,-0.22225,0.023176496066504498,0.09294802445998923,0.0246,0.010666666666666666,0.9648333333333332,0.20696333333333333
2019-12-09,-0.13802333333333336,0.018691877910094357,0.1225084091408383,0.027999999999999997,0.00933333333333333,0.9627,0.21914
2019-12-10,-0.18126,0.005782659828487713,0.1010717099483456,0.01906666666666667,0.019966666666666667,0.9610333333333334,0.07756333333333335
2019-12-11,-0.2304566666666667,0.017959363946458196,0.12229618936707493,0.02776666666666666,0.0181,0.9541333333333332,0.10018666666666667
2019-12-12,0.2050866666666666,0.02885452818113045,0.11740678533628693,0.032966666666666665,0.010500000000000002,0.9565,0.21417000000000005
2019-12-13,-0.16700666666666664,0.02887240027468008,0.10501406388796138,0.0244,0.012433333333333334,0.9630666666666664,0.048520000000000015
2019-12-14,-0.07520333333333333,0.030144945615294957,0.11938139578962295,0.02843333333333333,0.0119,0.9597,0.2771333333333333
2019-12-15,0.015463333333333319,0.048174619278831585,0.1179698836442923,0.031966666666666664,0.010366666666666666,0.9577333333333332,0.24871666666666664
2019-12-16,-0.30575,0.018236400256984264,0.1293131333371239,0.02006666666666667,0.019400000000000004,0.9606,0.03319333333333334
2019-12-17,0.10520333333333334,0.03109391430708713,0.10979018689662506,0.030300000000000007,0.0128,0.9569,0.17876666666666668
2019-12-18,0.17949333333333334,0.03836739485278628,0.1306388612321936,0.03493333333333334,0.010533333333333336,0.9545666666666668,0.22486
2019-12-19,-0.06696333333333332,0.0293688786897257,0.12559674933928053,0.02976666666666667,0.015199999999999997,0.9550333333333332,0.22359333333333334
2019-12-20,0.42347,0.04026450610805338,0.11273073969091026,0.03893333333333333,0.014433333333333331,0.9466333333333334,0.1575833333333333
2019-12-21,-0.20345999999999995,0.02126431296789446,0.07139360552189868,0.015733333333333332,0.004566666666666667,0.9796666666666668,0.16419666666666669
2019-12-22,0.08157333333333341,0.019190856488475586,0.11466710564759032,0.0295,0.01476666666666667,0.9557,0.20298
2019-12-23,-0.006509999999999993,0.022649266049006675,0.11283817520798875,0.02266666666666666,0.013666666666666669,0.9635666666666666,0.16156666666666664
2019-12-24,0.21786666666666665,0.034530464523412706,0.12683685870148426,0.038033333333333336,0.0102,0.9517333333333332,0.29680666666666666
2019-12-25,-0.22033000000000003,0.021280250448367267,0.09377625135613893,0.019500000000000003,0.014333333333333337,0.9662,0.05444666666666666
2019-12-26,-0.09941666666666668,0.015623352001302538,0.1366226626888544,0.027899999999999998,0.0133,0.9588,0.21359666666666666
2019-12-27,-0.31533333333333324,0.022262559683543886,0.10613783588776894,0.0286,0.01946666666666667,0.9518666666666667,0.19400333333333333
2019-12-28,-0.17184999999999992,0.01531139455477728,0.04666100199661497,0.0105,0.005033333333333334,0.9844666666666666,0.036803333333333334
2019-12-29,-0.02002333333333337,0.038067424360174316,0.12189191611952255,0.03426666666666666,0.013199999999999998,0.9525000000000002,0.1959
2019-12-30,-0.1231833333333333,0.035131029552962684,0.1260111017272372,0.033133333333333334,0.007933333333333334,0.959,0.1988633333333333
2019-12-31,-0.012796666666666656,0.022523939119601925,0.09090128967890164,0.02213333333333333,0.0109,0.9669333333333332,0.17739333333333332
2020-01-01,-0.060456666666666665,0.02818675304632185,0.11768806949644273,0.023433333333333327,0.013433333333333334,0.9631333333333334,0.16342
