,gnews_flair,gnews_tb_polarity,gnews_tb_subjectivity,gnews_sid_pos,gnews_sid_neg,gnews_sid_neu,gnews_sid_com
2020-02-11,-0.04234,0.039098519501746185,0.13001184108455552,0.0339,0.012933333333333331,0.9532,0.18851666666666667
2020-02-12,0.04086333333333337,0.03142862911347083,0.11662766856563153,0.02643333333333333,0.008366666666666666,0.9651666666666668,0.27398333333333336
2020-02-13,-0.018759999999999985,0.017456575148998996,0.11750808302681552,0.02386666666666666,0.012333333333333337,0.9637666666666664,0.13295
2020-02-14,0.024169999999999997,0.02819196746340592,0.12303522699834747,0.026966666666666663,0.011533333333333331,0.9615000000000002,0.1494533333333333
2020-02-15,-0.011903333333333271,0.02577999909066146,0.09532436191967787,0.021433333333333332,0.0062333333333333355,0.9723333333333334,0.17572000000000002
2020-02-16,0.032360000000000035,0.04383671886410941,0.10900119263696452,0.0295,0.005466666666666666,0.9650333333333332,0.22525
2020-02-17,0.0415633333333333,0.042277176787558116,0.12328201009348955,0.03153333333333334,0.011666666666666669,0.9568333333333334,0.13764666666666667
2020-02-18,0.17995666666666665,0.020896034284043512,0.10520353324429504,0.02583333333333333,0.0121,0.9620333333333332,0.18278666666666668
2020-02-19,0.08755333333333336,-7.006186447274636e-05,0.09065026038278813,0.018766666666666664,0.0058,0.9754333333333332,0.14362333333333333
2020-02-20,0.01885333333333331,0.024504071803372256,0.08862826262158699,0.021066666666666668,0.010666666666666666,0.9683,0.11372666666666667
2020-02-21,-0.09705666666666664,0.04004673943830656,0.1395081161544701,0.03746666666666667,0.01306666666666667,0.9494333333333332,0.16245333333333334
2020-02-22,-0.28048333333333336,0.02399751576593749,0.11009403809399776,0.02493333333333333,0.014066666666666668,0.961,0.13135333333333335
2020-02-23,-0.05643666666666663,0.020461461048835655,0.12358132381980523,0.020133333333333333,0.01016666666666667,0.9697333333333332,0.1327
2020-02-24,0.18231666666666674,0.02366746995505565,0.11244228253274563,0.024466666666666668,0.008033333333333333,0.9675666666666668,0.18374000000000001
2020-02-25,0.16119333333333333,0.037247052679169605,0.10646452845831897,0.02403333333333333,0.007933333333333334,0.968,0.2258633333333333
2020-02-26,-0.19863666666666666,0.018903236503532917,0.13217962336400935,0.02596666666666667,0.01953333333333333,0.9545666666666666,0.08653666666666668
2020-02-27,-0.03249666666666666,0.026510295817241916,0.12065131824199955,0.029433333333333325,0.015366666666666669,0.9552333333333332,0.15662000000000004
2020-02-28,0.02083666666666668,0.016790878031909526,0.10561347483279207,0.02253333333333333,0.022,0.9555,-0.03444
2020-02-29,-0.026223333333333303,0.01761762832580948,0.06452284905316677,0.01583333333333333,0.005599999999999999,0.9785666666666668,0.1511866666666667
